fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00020931449502878074,0.9791215
9.674922600619196e-05,0.00020931449502878074,0.9651779
9.674922600619196e-05,0.0003139717425431711,0.94840777
0.00014512383900928792,0.0003139717425431711,0.94125587
0.00014512383900928792,0.0005232862375719519,0.9390547
0.0001934984520123839,0.0005232862375719519,0.93429005
0.0001934984520123839,0.0007326007326007326,0.92815775
0.00029024767801857584,0.0007326007326007326,0.91469556
0.00029024767801857584,0.0013605442176870747,0.89368325
0.00033862229102167183,0.0013605442176870747,0.8935717
0.00033862229102167183,0.0015698587127158557,0.8898721
0.00033862229102167183,0.001674515960230246,0.889113
0.00043537151702786376,0.001674515960230246,0.8817501
0.00043537151702786376,0.0027210884353741495,0.8696269
0.00043537151702786376,0.0029304029304029304,0.8688462
0.00048374613003095975,0.0029304029304029304,0.86853236
0.00048374613003095975,0.0030350601779173206,0.8648667
0.00048374613003095975,0.0032443746729461016,0.8646519
0.0005321207430340557,0.0032443746729461016,0.8641277
0.0005321207430340557,0.003453689167974882,0.8605989
0.0007256191950464397,0.003453689167974882,0.8583297
0.0007256191950464397,0.003663003663003663,0.8564084
0.0008223684210526315,0.003663003663003663,0.85337263
0.0008223684210526315,0.0037676609105180532,0.85214365
0.0009191176470588235,0.0037676609105180532,0.85050154
0.0009191176470588235,0.003872318158032444,0.8478229
0.0009674922600619195,0.003872318158032444,0.84331644
0.0009674922600619195,0.003976975405546834,0.83941245
0.0009674922600619195,0.004186289900575615,0.8392178
0.0009674922600619195,0.004290947148090005,0.8379528
0.0010158668730650155,0.004290947148090005,0.83564866
0.0010158668730650155,0.004709576138147566,0.83489794
0.0010158668730650155,0.0048142333856619575,0.83170086
0.0010158668730650155,0.0052328623757195184,0.83052194
0.0010642414860681114,0.0052328623757195184,0.8291621
0.0010642414860681114,0.005442176870748299,0.82846135
0.0011126160990712075,0.005442176870748299,0.82764685
0.0011126160990712075,0.00565149136577708,0.8272341
0.0011126160990712075,0.005860805860805861,0.8258455
0.0011609907120743034,0.005860805860805861,0.8252404
0.0011609907120743034,0.006279434850863423,0.824487
0.0012577399380804953,0.006279434850863423,0.8234968
0.0012577399380804953,0.006698063840920984,0.81934005
0.0013061145510835912,0.006698063840920984,0.8176566
0.0013061145510835912,0.006907378335949764,0.81734514
0.0013544891640866873,0.006907378335949764,0.81712127
0.0013544891640866873,0.007012035583464155,0.815373
0.0013544891640866873,0.007221350078492936,0.81395596
0.0013544891640866873,0.007326007326007326,0.81371886
0.0015479876160990713,0.007326007326007326,0.8113363
0.0015479876160990713,0.0075353218210361065,0.8110488
0.0015963622291021672,0.0075353218210361065,0.8106293
0.0015963622291021672,0.007639979068550497,0.810454
0.0016931114551083592,0.007639979068550497,0.8086593
0.0016931114551083592,0.00805860805860806,0.8083791
0.0016931114551083592,0.00816326530612245,0.80765855
0.0016931114551083592,0.00858189429618001,0.8036712
0.0017898606811145512,0.00858189429618001,0.8011759
0.0017898606811145512,0.009000523286237572,0.80002236
0.002031733746130031,0.009000523286237572,0.79726523
0.002031733746130031,0.010047095761381476,0.79593354
0.002031733746130031,0.010151753008895866,0.7954054
0.0021284829721362228,0.010151753008895866,0.7943873
0.0021284829721362228,0.010570381998953427,0.7935942
0.002176857585139319,0.010570381998953427,0.79225564
0.002176857585139319,0.010779696493982208,0.7919737
0.002176857585139319,0.010884353741496598,0.7906037
0.002225232198142415,0.010884353741496598,0.7905014
0.002225232198142415,0.01109366823652538,0.78986144
0.0022736068111455106,0.01109366823652538,0.7886974
0.0022736068111455106,0.01119832548403977,0.7881962
0.0023219814241486067,0.01119832548403977,0.78758967
0.0023219814241486067,0.011826268969126112,0.783847
0.002418730650154799,0.011826268969126112,0.7822888
0.002418730650154799,0.012663526949241236,0.7787412
0.0024671052631578946,0.012663526949241236,0.77817494
0.0024671052631578946,0.012872841444270016,0.77809364
0.0024671052631578946,0.013186813186813187,0.7776309
0.0024671052631578946,0.013396127681841967,0.77758145
0.0025154798761609907,0.013396127681841967,0.7775231
0.0025154798761609907,0.013605442176870748,0.7768087
0.0026606037151702786,0.013605442176870748,0.77574795
0.0026606037151702786,0.013814756671899528,0.7756721
0.0026606037151702786,0.01391941391941392,0.7752877
0.0027089783281733747,0.01391941391941392,0.7748071
0.0027089783281733747,0.01402407116692831,0.77452517
0.0027089783281733747,0.014233385661957091,0.77447844
0.0027573529411764708,0.014233385661957091,0.77401936
0.0027573529411764708,0.014547357404500262,0.7733329
0.0027573529411764708,0.014652014652014652,0.77324796
0.0027573529411764708,0.015070643642072213,0.7723864
0.0028057275541795664,0.015070643642072213,0.77213055
0.0028057275541795664,0.015489272632129776,0.7706141
0.0029024767801857586,0.015489272632129776,0.769896
0.0029024767801857586,0.015907901622187335,0.76924443
0.0029508513931888543,0.015907901622187335,0.76900816
0.0029508513931888543,0.016012558869701727,0.7687049
0.0029992260061919504,0.016012558869701727,0.76823735
0.0029992260061919504,0.01611721611721612,0.76814634
0.0031443498452012383,0.01611721611721612,0.7670622
0.0031443498452012383,0.0163265306122449,0.76691437
0.0031443498452012383,0.01653584510727368,0.76610523
0.003289473684210526,0.01653584510727368,0.7647177
0.003289473684210526,0.01674515960230246,0.7639727
0.0033378482972136222,0.01674515960230246,0.7638408
0.0033378482972136222,0.01684981684981685,0.7636373
0.0033862229102167183,0.01684981684981685,0.7619584
0.0033862229102167183,0.01747776033490319,0.7611319
0.0033862229102167183,0.017582417582417582,0.7605911
0.0033862229102167183,0.017791732077446363,0.75963634
0.0033862229102167183,0.017896389324960755,0.7595456
0.0034345975232198144,0.017896389324960755,0.75947183
0.0034345975232198144,0.018001046572475143,0.75927347
0.0034345975232198144,0.018210361067503924,0.7587655
0.00348297213622291,0.018210361067503924,0.7583449
0.00348297213622291,0.018628990057561485,0.7579066
0.00348297213622291,0.018942961800104657,0.75762904
0.00348297213622291,0.019570905285191,0.75643986
0.003531346749226006,0.019570905285191,0.75637835
0.003531346749226006,0.01978021978021978,0.75628287
0.0035797213622291023,0.01978021978021978,0.7562567
0.0035797213622291023,0.02019884877027734,0.75572336
0.003628095975232198,0.02019884877027734,0.75566816
0.003628095975232198,0.02040816326530612,0.75559115
0.003676470588235294,0.02040816326530612,0.75509536
0.003676470588235294,0.021454735740450027,0.7541028
0.003676470588235294,0.021559392987964415,0.753849
0.003676470588235294,0.021768707482993196,0.75374967
0.00372484520123839,0.021768707482993196,0.75362027
0.00372484520123839,0.02260596546310832,0.7524411
0.003869969040247678,0.02260596546310832,0.7513524
0.003869969040247678,0.023233908948194663,0.7507073
0.003869969040247678,0.02333856619570905,0.75065255
0.003918343653250774,0.02333856619570905,0.75027955
0.003918343653250774,0.023757195185766616,0.7485923
0.003918343653250774,0.023861852433281004,0.74816674
0.004015092879256966,0.023861852433281004,0.7481589
0.004015092879256966,0.023966509680795396,0.74748313
0.004063467492260062,0.023966509680795396,0.74728495
0.004063467492260062,0.024803767660910518,0.7464049
0.004111842105263158,0.024803767660910518,0.74636644
0.004111842105263158,0.02543171114599686,0.7460533
0.00420859133126935,0.02543171114599686,0.7450974
0.00420859133126935,0.02564102564102564,0.7443089
0.004305340557275542,0.02564102564102564,0.7434264
0.004305340557275542,0.02585034013605442,0.7429274
0.004305340557275542,0.025954997383568813,0.742803
0.004353715170278638,0.025954997383568813,0.74218273
0.004353715170278638,0.0260596546310832,0.74214965
0.004353715170278638,0.027106227106227107,0.7392846
0.004353715170278638,0.027420198848770276,0.7390764
0.004353715170278638,0.027524856096284668,0.7388708
0.004402089783281733,0.027524856096284668,0.7380088
0.004402089783281733,0.02773417059131345,0.7377993
0.004402089783281733,0.02783882783882784,0.7375327
0.004402089783281733,0.028676085818942963,0.737153
0.004498839009287926,0.028676085818942963,0.73686606
0.004498839009287926,0.028885400313971743,0.7362749
0.004547213622291021,0.028885400313971743,0.7362702
0.004547213622291021,0.029304029304029304,0.7357094
0.004595588235294118,0.029304029304029304,0.73565346
0.004595588235294118,0.029513343799058084,0.7355029
0.004595588235294118,0.029618001046572476,0.7353119
0.004595588235294118,0.030036630036630037,0.7351539
0.004595588235294118,0.030141287284144426,0.7351187
0.0046439628482972135,0.030141287284144426,0.7347707
0.0046439628482972135,0.030350601779173206,0.7342825
0.0046439628482972135,0.030559916274201987,0.733439
0.0046439628482972135,0.03097854526425955,0.73335725
0.0046439628482972135,0.03108320251177394,0.73323345
0.0046439628482972135,0.0315018315018315,0.73282415
0.00469233746130031,0.0315018315018315,0.73230666
0.00469233746130031,0.031711145996860285,0.73212713
0.004740712074303406,0.031711145996860285,0.7319657
0.004740712074303406,0.03181580324437467,0.7318979
0.004740712074303406,0.032025117739403454,0.7316197
0.004740712074303406,0.032129774986917846,0.7316134
0.004789086687306501,0.032129774986917846,0.7315573
0.004789086687306501,0.03233908948194662,0.7307194
0.004789086687306501,0.032757718472004184,0.7301722
0.004934210526315789,0.032757718472004184,0.73007435
0.004934210526315789,0.033594976452119306,0.7295591
0.005030959752321981,0.033594976452119306,0.7293052
0.005030959752321981,0.0336996336996337,0.7292496
0.005127708978328174,0.0336996336996337,0.72856927
0.005127708978328174,0.035583464154892726,0.726433
0.005176083591331269,0.035583464154892726,0.7260724
0.005176083591331269,0.03579277864992151,0.7259265
0.0052728328173374615,0.03579277864992151,0.7256815
0.0052728328173374615,0.03642072213500785,0.7253475
0.005321207430340557,0.03642072213500785,0.72532696
0.005321207430340557,0.03683935112506541,0.72481674
0.005417956656346749,0.03683935112506541,0.7247634
0.005417956656346749,0.0369440083725798,0.72458726
0.005466331269349845,0.0369440083725798,0.7245723
0.005466331269349845,0.037153322867608585,0.72457194
0.005466331269349845,0.03725798011512297,0.7243676
0.0055147058823529415,0.03725798011512297,0.7240767
0.0055147058823529415,0.037885923600209315,0.72389853
0.0055147058823529415,0.038199895342752484,0.7237549
0.005563080495356037,0.038199895342752484,0.72343016
0.005563080495356037,0.03840920983778127,0.72318786
0.005611455108359133,0.03840920983778127,0.7229185
0.005611455108359133,0.038618524332810045,0.72276235
0.005659829721362229,0.038618524332810045,0.72270876
0.005659829721362229,0.03872318158032444,0.722406
0.005659829721362229,0.039141810570382,0.72232693
0.005708204334365325,0.039141810570382,0.7223157
0.005708204334365325,0.03935112506541078,0.7220143
0.005708204334365325,0.03956043956043956,0.72143716
0.005708204334365325,0.03976975405546834,0.7208078
0.005708204334365325,0.039874411302982735,0.7201998
0.005708204334365325,0.04050235478806907,0.7189455
0.005756578947368421,0.04050235478806907,0.71884876
0.005756578947368421,0.040920983778126634,0.7187744
0.005756578947368421,0.041025641025641026,0.7186061
0.005804953560371517,0.041025641025641026,0.7185292
0.005804953560371517,0.04144427001569859,0.7182491
0.005853328173374613,0.04144427001569859,0.71818465
0.005853328173374613,0.04165358451072737,0.71793973
0.005901702786377709,0.04165358451072737,0.717774
0.005901702786377709,0.04207221350078493,0.7173479
0.005998452012383901,0.04207221350078493,0.71728766
0.005998452012383901,0.04228152799581371,0.7170017
0.005998452012383901,0.04249084249084249,0.71651363
0.006143575851393189,0.04249084249084249,0.7158992
0.006143575851393189,0.04270015698587127,0.7158411
0.006143575851393189,0.04280481423338566,0.7154936
0.006240325077399381,0.04280481423338566,0.7151312
0.006240325077399381,0.043014128728414446,0.7151238
0.006240325077399381,0.04322344322344322,0.71457916
0.006337074303405573,0.04322344322344322,0.7140936
0.006337074303405573,0.043432757718472007,0.71367556
0.006433823529411764,0.043432757718472007,0.71356016
0.006433823529411764,0.043642072213500784,0.71344113
0.006530572755417957,0.043642072213500784,0.71326774
0.006530572755417957,0.04385138670852957,0.7132422
0.006578947368421052,0.04385138670852957,0.7131361
0.006578947368421052,0.044479330193615906,0.7125991
0.0066756965944272445,0.044479330193615906,0.7119524
0.0066756965944272445,0.04468864468864469,0.7115983
0.0066756965944272445,0.04479330193615908,0.7115968
0.0066756965944272445,0.04521193092621664,0.71119887
0.00672407120743034,0.04521193092621664,0.7110261
0.00672407120743034,0.04552590266875981,0.71092355
0.00672407120743034,0.045735217163788595,0.7107906
0.00672407120743034,0.04594453165881737,0.71020526
0.00672407120743034,0.046153846153846156,0.7101551
0.006820820433436532,0.046153846153846156,0.7094799
0.006820820433436532,0.046781789638932494,0.7083732
0.0069175696594427245,0.046781789638932494,0.70832556
0.0069175696594427245,0.04740973312401884,0.70781636
0.00696594427244582,0.04740973312401884,0.70765066
0.00696594427244582,0.04751439037153323,0.7072553
0.00696594427244582,0.04814233385661957,0.70712054
0.007014318885448917,0.04814233385661957,0.70711386
0.007014318885448917,0.04835164835164835,0.70674926
0.007014318885448917,0.04866562009419152,0.70671153
0.0072078173374613,0.04866562009419152,0.70596796
0.0072078173374613,0.048874934589220306,0.7059182
0.007352941176470588,0.048874934589220306,0.7053506
0.007352941176470588,0.04908424908424908,0.7050794
0.0075464396284829725,0.04908424908424908,0.70455605
